fname,label
f0001_us_f0001_00001.wav,female
f0001_us_f0001_00002.wav,female
f0001_us_f0001_00003.wav,female
f0001_us_f0001_00004.wav,female
f0001_us_f0001_00005.wav,female
f0001_us_f0001_00006.wav,female
f0001_us_f0001_00007.wav,female
f0001_us_f0001_00008.wav,female
f0001_us_f0001_00009.wav,female
f0001_us_f0001_00010.wav,female
f0001_us_f0001_00011.wav,female
f0001_us_f0001_00012.wav,female
f0001_us_f0001_00013.wav,female
f0001_us_f0001_00014.wav,female
f0001_us_f0001_00015.wav,female
f0001_us_f0001_00016.wav,female
f0001_us_f0001_00017.wav,female
f0001_us_f0001_00018.wav,female
f0001_us_f0001_00019.wav,female
f0001_us_f0001_00020.wav,female
f0001_us_f0001_00021.wav,female
f0001_us_f0001_00022.wav,female
f0001_us_f0001_00023.wav,female
f0001_us_f0001_00024.wav,female
f0001_us_f0001_00025.wav,female
f0001_us_f0001_00026.wav,female
f0001_us_f0001_00027.wav,female
f0001_us_f0001_00028.wav,female
f0001_us_f0001_00029.wav,female
f0001_us_f0001_00030.wav,female
f0001_us_f0001_00031.wav,female
f0001_us_f0001_00032.wav,female
f0001_us_f0001_00033.wav,female
f0001_us_f0001_00034.wav,female
f0001_us_f0001_00035.wav,female
f0001_us_f0001_00036.wav,female
f0001_us_f0001_00037.wav,female
f0001_us_f0001_00038.wav,female
f0001_us_f0001_00039.wav,female
f0001_us_f0001_00040.wav,female
f0001_us_f0001_00041.wav,female
f0001_us_f0001_00042.wav,female
f0001_us_f0001_00043.wav,female
f0001_us_f0001_00044.wav,female
f0001_us_f0001_00045.wav,female
f0001_us_f0001_00046.wav,female
f0001_us_f0001_00047.wav,female
f0001_us_f0001_00048.wav,female
f0001_us_f0001_00049.wav,female
f0001_us_f0001_00050.wav,female
f0001_us_f0001_00051.wav,female
f0001_us_f0001_00052.wav,female
f0001_us_f0001_00053.wav,female
f0001_us_f0001_00054.wav,female
f0001_us_f0001_00055.wav,female
f0001_us_f0001_00056.wav,female
f0001_us_f0001_00057.wav,female
f0001_us_f0001_00058.wav,female
f0001_us_f0001_00059.wav,female
f0001_us_f0001_00060.wav,female
f0001_us_f0001_00061.wav,female
f0001_us_f0001_00062.wav,female
f0001_us_f0001_00063.wav,female
f0001_us_f0001_00064.wav,female
f0001_us_f0001_00065.wav,female
f0001_us_f0001_00066.wav,female
f0001_us_f0001_00067.wav,female
f0001_us_f0001_00068.wav,female
f0001_us_f0001_00069.wav,female
f0001_us_f0001_00070.wav,female
f0001_us_f0001_00071.wav,female
f0001_us_f0001_00072.wav,female
f0001_us_f0001_00073.wav,female
f0001_us_f0001_00074.wav,female
f0001_us_f0001_00075.wav,female
f0001_us_f0001_00076.wav,female
f0001_us_f0001_00077.wav,female
f0001_us_f0001_00078.wav,female
f0001_us_f0001_00079.wav,female
f0001_us_f0001_00080.wav,female
f0001_us_f0001_00081.wav,female
f0001_us_f0001_00082.wav,female
f0001_us_f0001_00083.wav,female
f0001_us_f0001_00084.wav,female
f0001_us_f0001_00085.wav,female
f0001_us_f0001_00086.wav,female
f0001_us_f0001_00087.wav,female
f0001_us_f0001_00088.wav,female
f0001_us_f0001_00089.wav,female
f0001_us_f0001_00090.wav,female
f0001_us_f0001_00091.wav,female
f0001_us_f0001_00092.wav,female
f0001_us_f0001_00093.wav,female
f0001_us_f0001_00094.wav,female
f0001_us_f0001_00095.wav,female
f0001_us_f0001_00096.wav,female
f0001_us_f0001_00097.wav,female
f0001_us_f0001_00098.wav,female
f0001_us_f0001_00099.wav,female
f0001_us_f0001_00100.wav,female
f0001_us_f0001_00101.wav,female
f0001_us_f0001_00102.wav,female
f0001_us_f0001_00103.wav,female
f0001_us_f0001_00104.wav,female
f0001_us_f0001_00105.wav,female
f0001_us_f0001_00106.wav,female
f0001_us_f0001_00107.wav,female
f0001_us_f0001_00108.wav,female
f0001_us_f0001_00109.wav,female
f0001_us_f0001_00110.wav,female
f0001_us_f0001_00111.wav,female
f0001_us_f0001_00112.wav,female
f0001_us_f0001_00113.wav,female
f0001_us_f0001_00114.wav,female
f0001_us_f0001_00115.wav,female
f0001_us_f0001_00116.wav,female
f0001_us_f0001_00117.wav,female
f0001_us_f0001_00118.wav,female
f0001_us_f0001_00119.wav,female
f0001_us_f0001_00120.wav,female
f0001_us_f0001_00121.wav,female
f0001_us_f0001_00122.wav,female
f0001_us_f0001_00123.wav,female
f0001_us_f0001_00124.wav,female
f0001_us_f0001_00125.wav,female
f0001_us_f0001_00126.wav,female
f0001_us_f0001_00127.wav,female
f0001_us_f0001_00128.wav,female
f0001_us_f0001_00129.wav,female
f0001_us_f0001_00130.wav,female
f0001_us_f0001_00131.wav,female
f0001_us_f0001_00132.wav,female
f0001_us_f0001_00133.wav,female
f0001_us_f0001_00134.wav,female
f0001_us_f0001_00135.wav,female
f0001_us_f0001_00136.wav,female
f0001_us_f0001_00137.wav,female
f0001_us_f0001_00138.wav,female
f0001_us_f0001_00139.wav,female
f0001_us_f0001_00140.wav,female
f0001_us_f0001_00141.wav,female
f0001_us_f0001_00142.wav,female
f0001_us_f0001_00143.wav,female
f0001_us_f0001_00144.wav,female
f0001_us_f0001_00145.wav,female
f0001_us_f0001_00146.wav,female
f0001_us_f0001_00147.wav,female
f0001_us_f0001_00148.wav,female
f0001_us_f0001_00149.wav,female
f0001_us_f0001_00150.wav,female
f0001_us_f0001_00151.wav,female
f0001_us_f0001_00152.wav,female
f0001_us_f0001_00153.wav,female
f0001_us_f0001_00154.wav,female
f0001_us_f0001_00155.wav,female
f0001_us_f0001_00156.wav,female
f0001_us_f0001_00157.wav,female
f0001_us_f0001_00158.wav,female
f0001_us_f0001_00159.wav,female
f0001_us_f0001_00160.wav,female
f0001_us_f0001_00161.wav,female
f0001_us_f0001_00162.wav,female
f0001_us_f0001_00163.wav,female
f0001_us_f0001_00164.wav,female
f0001_us_f0001_00165.wav,female
f0001_us_f0001_00166.wav,female
f0001_us_f0001_00167.wav,female
f0001_us_f0001_00168.wav,female
f0001_us_f0001_00169.wav,female
f0001_us_f0001_00170.wav,female
f0001_us_f0001_00171.wav,female
f0001_us_f0001_00172.wav,female
f0001_us_f0001_00173.wav,female
f0001_us_f0001_00174.wav,female
f0001_us_f0001_00175.wav,female
f0001_us_f0001_00176.wav,female
f0001_us_f0001_00177.wav,female
f0001_us_f0001_00178.wav,female
f0001_us_f0001_00179.wav,female
f0001_us_f0001_00180.wav,female
f0001_us_f0001_00181.wav,female
f0001_us_f0001_00182.wav,female
f0001_us_f0001_00183.wav,female
f0001_us_f0001_00184.wav,female
f0001_us_f0001_00185.wav,female
f0001_us_f0001_00186.wav,female
f0001_us_f0001_00187.wav,female
f0001_us_f0001_00188.wav,female
f0001_us_f0001_00189.wav,female
f0001_us_f0001_00190.wav,female
f0001_us_f0001_00191.wav,female
f0001_us_f0001_00192.wav,female
f0001_us_f0001_00193.wav,female
f0001_us_f0001_00194.wav,female
f0001_us_f0001_00195.wav,female
f0001_us_f0001_00196.wav,female
f0001_us_f0001_00197.wav,female
f0001_us_f0001_00198.wav,female
f0001_us_f0001_00199.wav,female
f0001_us_f0001_00200.wav,female
f0001_us_f0001_00201.wav,female
f0001_us_f0001_00202.wav,female
f0001_us_f0001_00203.wav,female
f0001_us_f0001_00204.wav,female
f0001_us_f0001_00205.wav,female
f0001_us_f0001_00206.wav,female
f0001_us_f0001_00207.wav,female
f0001_us_f0001_00208.wav,female
f0001_us_f0001_00209.wav,female
f0001_us_f0001_00210.wav,female
f0001_us_f0001_00211.wav,female
f0001_us_f0001_00212.wav,female
f0001_us_f0001_00213.wav,female
f0001_us_f0001_00214.wav,female
f0001_us_f0001_00215.wav,female
f0001_us_f0001_00216.wav,female
f0001_us_f0001_00217.wav,female
f0001_us_f0001_00218.wav,female
f0001_us_f0001_00219.wav,female
f0001_us_f0001_00220.wav,female
f0001_us_f0001_00221.wav,female
f0001_us_f0001_00222.wav,female
f0001_us_f0001_00223.wav,female
f0001_us_f0001_00224.wav,female
f0001_us_f0001_00225.wav,female
f0001_us_f0001_00226.wav,female
f0001_us_f0001_00227.wav,female
f0001_us_f0001_00228.wav,female
f0001_us_f0001_00229.wav,female
f0001_us_f0001_00230.wav,female
f0001_us_f0001_00231.wav,female
f0001_us_f0001_00232.wav,female
f0001_us_f0001_00233.wav,female
f0001_us_f0001_00234.wav,female
f0001_us_f0001_00235.wav,female
f0001_us_f0001_00236.wav,female
f0001_us_f0001_00237.wav,female
f0001_us_f0001_00238.wav,female
f0001_us_f0001_00239.wav,female
f0001_us_f0001_00240.wav,female
f0001_us_f0001_00241.wav,female
f0001_us_f0001_00242.wav,female
f0001_us_f0001_00243.wav,female
f0001_us_f0001_00244.wav,female
f0001_us_f0001_00245.wav,female
f0001_us_f0001_00246.wav,female
f0001_us_f0001_00247.wav,female
f0001_us_f0001_00248.wav,female
f0001_us_f0001_00249.wav,female
f0001_us_f0001_00250.wav,female
f0001_us_f0001_00251.wav,female
f0001_us_f0001_00252.wav,female
f0001_us_f0001_00253.wav,female
f0001_us_f0001_00254.wav,female
f0001_us_f0001_00255.wav,female
f0001_us_f0001_00256.wav,female
f0001_us_f0001_00257.wav,female
f0001_us_f0001_00258.wav,female
f0001_us_f0001_00259.wav,female
f0001_us_f0001_00260.wav,female
f0001_us_f0001_00261.wav,female
f0001_us_f0001_00262.wav,female
f0001_us_f0001_00263.wav,female
f0001_us_f0001_00264.wav,female
f0001_us_f0001_00265.wav,female
f0001_us_f0001_00266.wav,female
f0001_us_f0001_00267.wav,female
f0001_us_f0001_00268.wav,female
f0001_us_f0001_00269.wav,female
f0001_us_f0001_00270.wav,female
f0001_us_f0001_00271.wav,female
f0001_us_f0001_00272.wav,female
f0001_us_f0001_00273.wav,female
f0001_us_f0001_00274.wav,female
f0001_us_f0001_00275.wav,female
f0001_us_f0001_00276.wav,female
f0001_us_f0001_00277.wav,female
f0001_us_f0001_00278.wav,female
f0001_us_f0001_00279.wav,female
f0001_us_f0001_00280.wav,female
f0001_us_f0001_00281.wav,female
